Name, Operator, Note
Addition, ``+``,
Multiplication, ``*``,
Subtraction, ``-``,
Division, ``/``,
Floor Division, ``//``,
Modulo, ``%``,
Exponent, ``**``,
In-place Addition, ``+=``,
In-place Subtraction, ``-=``,
In-place Division, ``/=``,
In-place Floor Division, ``//=``,
In-place Modulo, ``%=``,
In-place Exponent, ``**=``, Only supported on OpenCL CPU devices
Bitwise And, ``&``,
Bitwise Left Shift, ``<<``,
Bitwise Right Shift, ``>>``,
Bitwise Or, ``|``,
Bitwise Exclusive Or, ``^``,
In-place Bitwise And, ``&=``,
In-place Bitwise Left Shift, ``<<=``,
In-place Bitwise Right Shift, ``>>=``,
In-place Bitwise Or, ``|=``,
In-place Bitwise Exclusive Or, ``^=``,
Negation, ``-``,
Complement, ``~``,
Pos, ``+``,
Less Than, ``<``,
Less Than Equal, ``<=``,
Greater Than, ``>``,
Greater Than Equal, ``>=``,
Equal To, ``==``,
Not Equal To, ``!=``,
Matmul, ``@``, **Not supported**
In-place Matmul, ``@=``, **Not supported**
